Consent,Pre_Perc_1,Pre_Cert,C1,Post_Perc_1,Post_Cert,Check,Check_4_TEXT,See,Pet_Agree,Pet_Conv,Pie_Agree,Pie_Conv,Age,Gender,Party,Educ,Occ,Live,ConditionOne,ConditionTwo,ConditionThree,ConditionFour,ConditionFive
1,76,6, ,96,7,4,I am paying attention,4,5,4,7,7,2,1,3,1,2,1, , , ,1, 
1,93,5,8,92,5,4,I am paying attention.,5, , , , ,2,1,1,2,2,1,1, , , , 
1,99,7, ,97,7,4,I am paying attention,1, , ,6,7,1,1,1,2,2,1, ,1, , , 
1,80,6,8,90,7,4,I am paying attention,5, , , , ,3,1,2,2,2,1,1, , , , 
1,92,6, ,89,5,4,I am paying attention.,2,1,2, , ,2,2,1,2,2,1, , ,1, , 
1,90,4, ,97,5,4,I am paying attention.,4,6,7,6,7,2,2,1,1,2,1, , , ,1, 
1,85,3, ,96,6,4,I am paying attention.,4,2,2,6,5,2,1,1,2,2,1, , , , ,1
1,95,7,8,95,7,4,I am paying attention.,5, , , , ,2,1,1,2,2,1,1, , , , 
1,77,5, ,97,6,4,I am paying attention,4,1,2,7,7,3,2,1,2,2,1, , , , ,1
1,95,5, ,97,7,4,I am paying attention.,4,1,1,7,5,2,2,3,2,2,1, , , , ,1
1,91,6, ,100,4,4,I am paying attention.,1, , ,7,7,2,2,1,2,2,1, ,1, , , 
1,80,5, ,97,7,4,I am paying attention,1, , ,3,5,3,1,2,3,2,1, ,1, , , 
1,98,6, ,97,7,4,I am paying attention.,4,1,1,7,7,3,1,3,2,2,1, , , ,1, 
1,99,4, ,96,3,4,I am paying attention.,2,1,2, , ,3,2,1,2,2,1, , ,1, , 
1,71,2, ,97,5,4,I am paying attention.,4,5,5,5,4,2,1,3,1,2,1, , , ,1, 
1,97,6,8,97,6,4,I am paying attention,5, , , , ,2,1,1,1,2,1,1, , , , 
1,60,3, ,20,5,4,I am paying attention.,2,2,4, , ,2,1,2,1,2,1, , ,1, , 
1,92,5,8,90,4,4,I am paying attention,5, , , , ,2,2,1,3,2,1,1, , , , 
1,19,1, , ,4,4,I am paying attention,1, , ,1,1,2,2,1,2,2,1, ,1, , , 
1,95,5, ,96,5,4,I am paying attention.,2,1,1, , ,2,2,1,3,2,1, , ,1, , 
1,96,6, ,98,6,4,i am paying attention,4,1,1,7,7,2,1,1,1,2,1, , , , ,1
1,90,6, ,97,7,4,I am paying attention.,4,6,6,6,6,3,1,3,4,2,1, , , ,1, 
1,81,4, ,93,5,4,I am paying attention.,4,3,4,6,5,3,2,1,1,2,1, , , ,1, 
1,91,3, ,91,3,4,I am paying attention.,2,1,1, , ,3,1,1,2,2,1, , ,1, , 
1,83,6, ,97,7,4,I am paying attention,4,4,4,7,7,2,2,1,2,2,1, , , , ,1
1,95,6, ,97,6,4,I am paying attention.,1, , ,6,6,2,1,1,2,2,1, ,1, , , 
1,97,5,8,94,5,4,I am paying attention,5, , , , ,2,2,3,2,2,1,1, , , , 
1,51,2,8,50,3,4,I am paying attention.,5, , , , ,3,1,3,2,2,1,1, , , , 
1,93,5,8,93,5,4,I am paying attention,5, , , , ,2,2,1,1,2,1,1, , , , 
1,81,3, ,97,7,4,I am paying attention,2,2,2, , ,2,2,2,2,2,1, , , , ,1
1,74,6, ,81,6,4,I am paying attention.,1, , ,6,6,2,2,3,1,2,1, , , ,1, 
1,85,3,8,85,3,4,I am paying attention.,5, , , , ,4,1,3,2,2,1,1, , , , 
1,78,6, ,92,6,4,I am paying attention.,1, , ,5,5,3,1,1,1,2,1, ,1, , , 
1,95,5, ,95,5,4,I am paying attention.,2,2,2, , ,2,1,3,2,2,1, , ,1, , 
1,80,1, ,97,7,4,I am paying attention,4,6,7,6,7,2,2,1,1,2,1, , , , ,1
1,80,5, ,97,6,4,I am paying attention,1, , ,7,7,2,1,1,2,2,1, ,1, , , 
1,98,6, ,90,5,4,I am paying attention.,4,7,7,7,6,2,1,3,1,2,1, , , ,1, 
1,95,5, ,97,6,4,I am paying attention.,1, , ,5,5,2,1,3,1,2,1, ,1, , , 
1,95,5, ,95,5,4,I am paying attention,2,4,2, , ,2,1,3,1,2,1, , ,1, , 
